provincia,partido,localidad,link indec,adsl,cablemodem,dial up,fibra optica,otros,satelital,wimax,wireless,total general,adls
buenos aires,25 de mayo,25 de mayo,6854100,873.0,4704.0,0.0,2.0,0.0,975.0,0.0,664.0,7218.0,873.0
buenos aires,25 de mayo,del valle,6854020,181.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,192.0,181.0
buenos aires,25 de mayo,gobernador ugarte,6854040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0,0.0
buenos aires,25 de mayo,norberto de la riestra,6854060,0.0,782.0,0.0,6.0,167.0,0.0,0.0,327.0,1282.0,0.0
buenos aires,25 de mayo,lucas monteverde,6854050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
buenos aires,25 de mayo,ernestina,6854030,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0
buenos aires,25 de mayo,pedernales,6854070,568.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,575.0,568.0
buenos aires,9 de julio,12 de octubre,6588030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0
buenos aires,9 de julio,9 de julio,6588100,4.36,3362.0,82.0,5.886,83.0,1.0,0.0,831.0,14605.0,4.36
buenos aires,9 de julio,alfredo demarchi  (est. facundo quiroga),6588010,450.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,510.0,450.0
buenos aires,9 de julio,dudignac,6588040,0.0,0.0,1.0,0.0,0.0,0.0,0.0,463.0,464.0,0.0
buenos aires,9 de julio,manuel b. gonnet  (est. french),6588060,199.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,203.0,199.0
buenos aires,9 de julio,villa general fournier  (est. 9 de julio sud),6588120,0.0,0.0,0.0,88.0,0.0,0.0,0.0,42.0,130.0,0.0
buenos aires,9 de julio,patricios,6588110,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0
buenos aires,adolfo alsina,carhué,6007010,780.0,0.0,1.0,1.418,1.0,0.0,0.0,283.0,2483.0,780.0
buenos aires,adolfo alsina,maza,6007070,0.0,0.0,0.0,390.0,0.0,2.0,0.0,14.0,406.0,0.0
buenos aires,adolfo alsina,rivera,6007080,0.0,0.0,0.0,1.202,0.0,0.0,0.0,0.0,1202.0,0.0
buenos aires,adolfo alsina,colonia san miguel arcángel,6007020,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,198.0,0.0
buenos aires,adolfo alsina,esteban agustín gascón,6007050,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,0.0
buenos aires,adolfo gonzales chaves,adolfo gonzales chaves  (est. chaves),6014010,549.0,0.0,2.0,943.0,0.0,0.0,0.0,313.0,1807.0,549.0
buenos aires,adolfo gonzales chaves,de la garma,6014020,0.0,0.0,0.0,630.0,0.0,0.0,0.0,59.0,689.0,0.0
buenos aires,adolfo gonzales chaves,juan e. barra,6014030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0
buenos aires,adolfo gonzales chaves,vásquez,6014040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0
buenos aires,alberti,alberti   (est. andrés vaccarezza),6021010,457.0,0.0,6.0,1.0,0.0,0.0,0.0,8.0,472.0,457.0
buenos aires,alberti,mechita,6021030,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,285.0
buenos aires,almirante brown,adrogué,6028010,214.0,9259.0,59.0,11.442,2.0,1.0,0.0,26.0,21003.0,214.0
buenos aires,almirante brown,burzaco,6028010,142.0,16127.0,35.0,11.335,40.0,2.0,0.0,292.0,27973.0,142.0
buenos aires,almirante brown,claypole,6028010,5.0,7568.0,3.0,4.149,13.0,0.0,0.0,2.0,11740.0,5.0
buenos aires,almirante brown,don orione,6028010,0.0,5184.0,0.0,0.0,0.0,0.0,0.0,1.0,5185.0,0.0
buenos aires,almirante brown,glew,6028010,55.0,7978.0,10.0,11.652,12.0,0.0,0.0,54.0,19761.0,55.0
buenos aires,almirante brown,jose mármol,6028010,0.0,7374.0,1.0,1.41,2.0,0.0,0.0,1.0,8788.0,0.0
buenos aires,almirante brown,longchamps,6028010,30.0,9559.0,20.0,14.739,24.0,0.0,0.0,1.0,24373.0,30.0
buenos aires,almirante brown,malvinas argentinas,6028010,2.0,5311.0,3.0,54.0,2.0,0.0,0.0,1.0,5373.0,2.0
buenos aires,almirante brown,ministro rivadavia,6028010,3.0,3418.0,4.0,4.066,4.0,0.0,0.0,1.0,7496.0,3.0
buenos aires,almirante brown,rafael calzada,6028010,37.0,10375.0,15.0,9.925,193.0,0.0,0.0,340.0,20885.0,37.0
buenos aires,almirante brown,san francisco solano,6028010,26.0,4232.0,4.0,3.261,131.0,0.0,0.0,2.0,7656.0,26.0
buenos aires,almirante brown,san jose,6028010,3.0,9174.0,2.0,195.0,0.0,3.0,0.0,1.0,9378.0,3.0
buenos aires,arrecifes,arrecifes,6077010,906.0,1127.0,12.0,4.393,60.0,1.0,0.0,1.882,8381.0,906.0
buenos aires,arrecifes,todd,6077020,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,304.0,0.0
buenos aires,arrecifes,viña,6077030,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,50.0
buenos aires,avellaneda,avellaneda,6035010,1.486,8698.0,48.0,5.769,68.0,5.0,0.0,87.0,16161.0,1.486
buenos aires,avellaneda,crucesita,6035010,1.0,4956.0,0.0,2.723,2.0,0.0,0.0,0.0,7682.0,1.0
buenos aires,avellaneda,dock sud,6035010,11.0,664.0,0.0,2.421,12.0,0.0,0.0,26.0,3134.0,11.0
buenos aires,avellaneda,gerli,6035010,3.0,6053.0,0.0,4.334,0.0,0.0,0.0,0.0,10390.0,3.0
buenos aires,avellaneda,pineyro,6035010,9.0,5981.0,1.0,2.324,0.0,0.0,0.0,0.0,8315.0,9.0
buenos aires,avellaneda,sarandí,6035010,1.935,10031.0,67.0,11.628,4.0,2.0,0.0,1.0,23668.0,1.935
buenos aires,avellaneda,villa domínico,6035010,16.0,8928.0,2.0,6.819,11.0,0.0,0.0,191.0,15967.0,16.0
buenos aires,avellaneda,wilde,6035010,2.052,12587.0,66.0,12.956,8.0,0.0,0.0,0.0,27669.0,2.052
buenos aires,ayacucho,ayacucho,6042010,2.053,0.0,2.0,0.0,0.0,0.0,0.0,139.0,2194.0,2.053
buenos aires,ayacucho,la constancia,6042020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
buenos aires,ayacucho,solanet,6042030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0
buenos aires,ayacucho,udaquiola,6042040,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,47.0,0.0
buenos aires,azul,azul,6049020,2.424,13779.0,51.0,56.0,65.0,2.0,0.0,1.145,17522.0,2.424
buenos aires,azul,cacharí,6049030,0.0,0.0,2.0,0.0,0.0,0.0,0.0,521.0,523.0,0.0
buenos aires,azul,chillar,6049040,0.0,0.0,0.0,0.0,0.0,1.0,0.0,565.0,566.0,0.0
buenos aires,bahía blanca,bahía blanca,6056010,4.69,103773.0,402.0,9.084,463.0,7.0,0.0,2.824,121243.0,4.69
buenos aires,bahía blanca,cabildo,6056020,0.0,193.0,4.0,6.0,5.0,0.0,0.0,153.0,361.0,0.0
buenos aires,bahía blanca,general daniel cerri  (est. general cerri),6056030,373.0,1481.0,1.0,0.0,0.0,0.0,0.0,20.0,1875.0,373.0
buenos aires,bahía blanca,ingeniero white,6056020,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0
buenos aires,balcarce,balcarce,6063010,1.503,11047.0,38.0,37.0,47.0,0.0,0.0,883.0,13555.0,1.503
buenos aires,balcarce,los pinos,6063020,0.0,0.0,0.0,0.0,9.0,0.0,0.0,30.0,39.0,0.0
buenos aires,balcarce,napaleofú,6063030,0.0,0.0,0.0,15.0,0.0,0.0,0.0,50.0,65.0,0.0
buenos aires,balcarce,ramos otero,6063040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0
buenos aires,balcarce,san agustín,6063050,0.0,0.0,0.0,0.0,3.0,0.0,0.0,72.0,75.0,0.0
buenos aires,balcarce,villa laguna la brava,6063060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0
buenos aires,baradero,baradero,6070010,1.882,6807.0,0.0,3.0,0.0,1.0,0.0,809.0,9502.0,1.882
buenos aires,baradero,villa alsina  (est. alsina),6070040,127.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,277.0,127.0
buenos aires,baradero,irineo portela,6070020,0.0,0.0,0.0,1.0,0.0,1.0,0.0,76.0,78.0,0.0
buenos aires,baradero,santa coloma,6070030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
buenos aires,benito juárez,barker,6084010,0.0,0.0,1.0,10.0,0.0,2.0,0.0,70.0,83.0,0.0
buenos aires,benito juárez,benito juárez  (est. juárez),6084020,782.0,0.0,20.0,563.0,4.0,1.0,0.0,147.0,1517.0,782.0
buenos aires,benito juárez,lópez,6084030,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,16.0,0.0
buenos aires,benito juárez,villa cacique  (est. alfredo fortabat),6084050,0.0,0.0,0.0,20.0,0.0,1.0,0.0,100.0,121.0,0.0
buenos aires,berazategui,berazategui,6091010,1.62,18057.0,42.0,24.092,57.0,4.0,0.0,49.0,43921.0,1.62
buenos aires,berazategui,berazategui oeste,6091010,16.0,79.0,0.0,15.17,0.0,0.0,0.0,0.0,15265.0,16.0
buenos aires,berazategui,carlos tomás sourigues,6091010,17.0,1485.0,0.0,1.605,0.0,0.0,0.0,0.0,3107.0,17.0
buenos aires,berazategui,centro agrícola el pato,6091010,2.031,1291.0,0.0,0.0,0.0,0.0,0.0,16.0,3338.0,2.031
buenos aires,berazategui,guillermo e. hudson,6091010,133.0,6657.0,2.0,8.962,3.0,0.0,0.0,0.0,15757.0,133.0
buenos aires,berazategui,juan maría gutierrez,6091010,501.0,2376.0,4.0,3.072,0.0,0.0,0.0,44.0,5997.0,501.0
buenos aires,berazategui,pereyra,6091010,9.0,236.0,1.0,310.0,0.0,0.0,0.0,0.0,556.0,9.0
buenos aires,berazategui,plátanos,6091010,0.0,1960.0,0.0,2.161,1.0,0.0,0.0,0.0,4122.0,0.0
buenos aires,berazategui,ranelagh,6091010,39.0,2962.0,13.0,7.344,0.0,1.0,0.0,0.0,10359.0,39.0
buenos aires,berazategui,villa españa,6091010,2.0,1270.0,0.0,2.04,0.0,0.0,0.0,0.0,3312.0,2.0
buenos aires,berisso,berisso,6098010,4.198,12465.0,23.0,6.195,29.0,0.0,0.0,368.0,23278.0,4.198
buenos aires,berisso,villa nueva,6098010,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,0.0
buenos aires,berisso,barrio el carmen (este),6098010,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,0.0
buenos aires,berisso,villa arguello,6098010,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,0.0
buenos aires,berisso,villa progreso,6098010,0.0,0.0,0.0,132.0,0.0,0.0,0.0,250.0,382.0,0.0
buenos aires,bolívar,otros,sin datos,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
buenos aires,bolívar,pirovano,6105050,0.0,0.0,0.0,0.0,50.0,0.0,0.0,45.0,95.0,0.0
buenos aires,bolívar,san carlos de bolívar  (est. bolívar),6105060,963.0,5122.0,2.0,0.0,0.0,0.0,0.0,255.0,6342.0,963.0
buenos aires,bolívar,urdampilleta,6105070,0.0,0.0,6.0,2.0,6.0,0.0,0.0,71.0,85.0,0.0
buenos aires,bolívar,paula,6105040,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
buenos aires,bolívar,hale,6105010,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
buenos aires,bragado,bragado,6112010,674.0,4209.0,10.0,45.0,0.0,0.0,0.0,210.0,5148.0,674.0
buenos aires,bragado,general o'brien,6112030,321.0,0.0,0.0,83.0,0.0,0.0,0.0,31.0,435.0,321.0
buenos aires,bragado,irala,6112040,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,0.0
buenos aires,bragado,mechita (est. mecha),6112070,10.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,10.0
buenos aires,bragado,warnes,6112090,135.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,151.0,135.0
buenos aires,bragado,comodoro py,6112020,0.0,0.0,0.0,220.0,0.0,0.0,0.0,2.0,222.0,0.0
buenos aires,bragado,olascoaga,6112080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
buenos aires,brandsen,coronel brandsen,6119050,1.805,5.0,0.0,1.48,2.0,0.0,0.0,1.135,4427.0,1.805
buenos aires,brandsen,jeppener,6119070,676.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,678.0,676.0
buenos aires,campana,campana,6126030,2.242,17445.0,1.0,8.7,18.0,3.0,0.0,43.0,28452.0,2.242
buenos aires,campana,lomas del río luján (est. río luján),6126040,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
buenos aires,campana,alto los cardales,6126010,0.0,0.0,0.0,80.0,0.0,0.0,0.0,41.0,121.0,0.0
buenos aires,campana,barrio los pioneros,6126020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
buenos aires,campana,chacras del río luján,6126035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0
buenos aires,cañuelas,alejandro petión,6134010,206.0,830.0,7.0,0.0,0.0,0.0,0.0,42.0,1085.0,206.0
buenos aires,cañuelas,barrio el taladro,6134020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
buenos aires,cañuelas,cañuelas,6134030,1.228,5116.0,33.0,2.261,0.0,1.0,0.0,526.0,9165.0,1.228
buenos aires,cañuelas,máximo paz,6134050,0.0,2692.0,0.0,2.0,0.0,0.0,0.0,270.0,2964.0,0.0
buenos aires,cañuelas,santa rosa,6134060,0.0,0.0,0.0,0.0,0.0,2.0,0.0,233.0,235.0,0.0
buenos aires,cañuelas,uribelarrea,6134070,60.0,0.0,0.0,403.0,0.0,0.0,0.0,20.0,483.0,60.0
buenos aires,cañuelas,vicente casares,6134080,228.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,255.0,228.0
buenos aires,cañuelas,barrio belgrano-máximo paz,6134030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0
buenos aires,cañuelas,gobernador udaondo,6134040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0
buenos aires,capitán sarmiento,capitán sarmiento,6140010,180.0,4011.0,0.0,0.0,0.0,0.0,0.0,89.0,4280.0,180.0
buenos aires,capitán sarmiento,la luisa,6140020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0
buenos aires,carlos casares,cadret,6147020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,49.0,0.0
buenos aires,carlos casares,carlos casares,6147030,1.425,9.0,8.0,1.477,0.0,0.0,0.0,2.461,5380.0,1.425
buenos aires,carlos casares,la sofía,6147060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
buenos aires,carlos casares,moctezuma,6147080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,0.0
buenos aires,carlos casares,santo tomás,6147095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0
buenos aires,carlos casares,smith,6147100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,191.0,0.0
buenos aires,carlos casares,mauricio hirsch,6147070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0
buenos aires,carlos casares,bellocq,6147010,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
buenos aires,carlos tejedor,carlos tejedor,6154010,15.0,476.0,1.0,68.0,0.0,0.0,0.0,1.188,1748.0,15.0
buenos aires,carlos tejedor,colonia seré,6154020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0
buenos aires,carlos tejedor,tres algarrobos  (est. cuenca),6154050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,199.0,0.0
buenos aires,carlos tejedor,curarú,6154030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0
buenos aires,carlos tejedor,timote,6154040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0
buenos aires,carmen de areco,carmen de areco,6161010,388.0,1707.0,5.0,0.0,1.0,0.0,0.0,905.0,3006.0,388.0
buenos aires,carmen de areco,pueblo gouin,6161020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0
buenos aires,carmen de areco,tres sargentos,6161030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0
buenos aires,castelli,castelli,6168010,67.0,1109.0,0.0,1.121,0.0,2.0,0.0,28.0,2327.0,67.0
buenos aires,castelli,centro guerrero,6168020,0.0,0.0,0.0,46.0,0.0,0.0,0.0,3.0,49.0,0.0
buenos aires,castelli,cerro de la gloria,6168030,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
buenos aires,chacabuco,castilla,6210010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,274.0,0.0
buenos aires,chacabuco,chacabuco,6210020,925.0,9896.0,16.0,14.0,16.0,0.0,0.0,2.0,10869.0,925.0
buenos aires,chacabuco,o'higgins,6210040,54.0,95.0,0.0,0.0,0.0,0.0,0.0,12.0,161.0,54.0
buenos aires,chacabuco,rawson,6210050,73.0,0.0,0.0,303.0,28.0,0.0,0.0,128.0,532.0,73.0
buenos aires,chascomús,chascomús,6217010,2.159,7510.0,85.0,1.159,85.0,1.0,0.0,0.0,10999.0,2.159
buenos aires,chascomús,manuel j. cobo  (est. lezama),6217020,104.0,1718.0,0.0,0.0,0.0,0.0,444.0,0.0,2266.0,104.0
buenos aires,chascomús,barrio san cayetano,6217020,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,132.0,0.0
buenos aires,chivilcoy,chivilcoy,6224010,2.628,9147.0,119.0,815.0,119.0,1.0,0.0,3.172,16001.0,2.628
buenos aires,chivilcoy,la rica,6224040,39.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,136.0,39.0
buenos aires,chivilcoy,moquehuá,6224050,0.0,338.0,0.0,546.0,0.0,0.0,0.0,29.0,913.0,0.0
buenos aires,chivilcoy,ramón biaus,6224060,3.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,50.0,3.0
buenos aires,chivilcoy,san sebastián,6224070,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,52.0,3.0
buenos aires,chivilcoy,gorostiaga,6224030,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,55.0
buenos aires,colón,colón,6175010,4.143,1588.0,0.0,1.794,0.0,0.0,0.0,20.0,7545.0,4.143
buenos aires,colón,sarasa,6175040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
buenos aires,coronel de marina l. rosales,balneario pehuen co,6182020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
buenos aires,coronel de marina l. rosales,punta alta  (est almirante solier),6182030,852.0,20293.0,48.0,5.0,0.0,6.0,0.0,0.0,21204.0,852.0
buenos aires,coronel de marina l. rosales,villa general arias  (est. kilómetro 638),6182050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
buenos aires,coronel de marina l. rosales,pago chico,6182025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
buenos aires,coronel de marina l. rosales,bajo hondo,6182010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
buenos aires,coronel dorrego,coronel dorrego,6189030,228.0,1160.0,3.0,1.0,0.0,0.0,0.0,32.0,1424.0,228.0
buenos aires,coronel dorrego,el perdido  (est. josé a. guisasola),6189040,0.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,37.0,0.0
buenos aires,coronel dorrego,oriente,6189070,0.0,0.0,0.0,586.0,0.0,0.0,0.0,48.0,634.0,0.0
buenos aires,coronel dorrego,balneario marisol,6189020,0.0,0.0,0.0,342.0,0.0,0.0,0.0,0.0,342.0,0.0
buenos aires,coronel pringles,coronel pringles  (est. pringles),6196010,649.0,2056.0,3.0,5.0,0.0,0.0,0.0,171.0,2884.0,649.0
buenos aires,coronel pringles,indio rico,6196040,0.0,0.0,1.0,24.0,0.0,0.0,0.0,3.0,28.0,0.0
buenos aires,coronel suárez,coronel suárez,6203020,817.0,2427.0,88.0,1.609,88.0,0.0,0.0,785.0,5814.0,817.0
buenos aires,coronel suárez,huanguelén,6203050,0.0,0.0,1.0,1.384,0.0,0.0,0.0,527.0,1912.0,0.0
buenos aires,coronel suárez,pasman,6203060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0
buenos aires,coronel suárez,san josé,6203070,0.0,45.0,0.0,706.0,0.0,0.0,0.0,0.0,751.0,0.0
buenos aires,coronel suárez,santa maría,6203080,0.0,18.0,0.0,465.0,0.0,0.0,0.0,0.0,483.0,0.0
buenos aires,coronel suárez,santa trinidad,6203090,0.0,65.0,0.0,550.0,0.0,0.0,0.0,0.0,615.0,0.0
buenos aires,coronel suárez,villa la arcadia,6203100,0.0,104.0,0.0,72.0,0.0,0.0,0.0,0.0,176.0,0.0
buenos aires,daireaux,daireaux,6231030,281.0,0.0,0.0,0.0,194.0,50.0,0.0,339.0,864.0,281.0
buenos aires,daireaux,salazar,6231060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
buenos aires,dolores,dolores,6238010,1.575,10215.0,1.0,8.0,0.0,0.0,325.0,0.0,12124.0,1.575
buenos aires,dolores,sevigne,6238020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
buenos aires,ensenada,ensenada,6245010,1.534,10765.0,17.0,2.923,6.0,0.0,0.0,2.092,17337.0,1.534
buenos aires,ensenada,villa catela,6245010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0
buenos aires,escobar,belen de escobar,6252010,2.964,17071.0,21.0,8.652,333.0,1.0,0.0,97.0,29139.0,2.964
buenos aires,escobar,el cazador,6252010,0.0,971.0,0.0,2.226,0.0,0.0,0.0,0.0,3197.0,0.0
buenos aires,escobar,garín,6252010,4.638,9481.0,3.0,3.422,2.0,1.0,0.0,11.0,17558.0,4.638
buenos aires,escobar,ingeniero maschwitz,6252010,1.126,4227.0,3.0,2.969,1.0,0.0,0.0,300.0,8626.0,1.126
buenos aires,escobar,loma verde,6252010,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0
buenos aires,escobar,maquinista f. savio (este),6252010,533.0,4392.0,0.0,13.0,2.0,0.0,0.0,14.0,4954.0,533.0
buenos aires,escobar,matheu,6252010,1.39,2515.0,2.0,1.0,3.0,1.0,0.0,58.0,3970.0,1.39
buenos aires,esteban echeverría,9 de abril,6260010,237.0,6483.0,6.0,12.0,1.0,0.0,0.0,153.0,6892.0,237.0
buenos aires,esteban echeverría,canning,6260010,3.0,3488.0,0.0,1.049,1.0,0.0,0.0,94.0,4635.0,3.0
buenos aires,esteban echeverría,el jagüel,6260010,0.0,6691.0,0.0,5.0,2.0,1.0,0.0,89.0,6788.0,0.0
buenos aires,esteban echeverría,luis guillón,6260010,4.0,7207.0,2.0,1.757,1.0,0.0,0.0,77.0,9048.0,4.0
buenos aires,esteban echeverría,monte grande,6260010,211.0,27688.0,61.0,24.799,70.0,4.0,0.0,312.0,53145.0,211.0
buenos aires,esteban echeverría,zona aeropuerto internacional ezeiza,6260010,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
buenos aires,exaltación de la cruz,arroyo de la cruz,6266010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,0.0
buenos aires,exaltación de la cruz,capilla del señor  (est. capilla),6266020,359.0,0.0,6.0,82.0,0.0,0.0,0.0,0.0,447.0,359.0
buenos aires,exaltación de la cruz,los cardales,6266040,2.0,7166.0,2.0,0.0,0.0,1.0,0.0,0.0,7171.0,2.0
buenos aires,exaltación de la cruz,otros,sin datos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0
buenos aires,exaltación de la cruz,parada orlando,6266050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,31.0,0.0
buenos aires,exaltación de la cruz,parada robles - pavón,6266060,2.709,0.0,0.0,235.0,0.0,0.0,0.0,0.0,2944.0,2.709
buenos aires,ezeiza,aeropuerto internacional ezeiza,6270010,224.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,232.0,224.0
buenos aires,ezeiza,canning,6270010,194.0,1722.0,1.0,1.03,1.0,0.0,0.0,50.0,2998.0,194.0
buenos aires,ezeiza,carlos spegazzini,6270010,343.0,5545.0,2.0,1.349,164.0,1.0,0.0,1.0,7405.0,343.0
buenos aires,ezeiza,josé maria ezeiza,6270010,540.0,13930.0,13.0,4.959,0.0,2.0,0.0,92.0,19536.0,540.0
buenos aires,ezeiza,la unión,6270010,107.0,9052.0,1.0,823.0,0.0,2.0,0.0,0.0,9985.0,107.0
buenos aires,ezeiza,otros,sin datos,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,3.0
buenos aires,ezeiza,tristán suarez,6270010,571.0,10640.0,5.0,982.0,18.0,0.0,0.0,4.0,12220.0,571.0
buenos aires,florencio varela,bosques,6274010,35.0,7673.0,3.0,3.293,13.0,0.0,0.0,266.0,11283.0,35.0
buenos aires,florencio varela,estanislao severo zeballos,6274010,7.0,2482.0,4.0,3.935,0.0,0.0,0.0,0.0,6428.0,7.0
buenos aires,florencio varela,florencio varela,6274010,661.0,18474.0,30.0,22.792,263.0,3.0,0.0,810.0,43033.0,661.0
buenos aires,florencio varela,gobernador julio a. costa,6274010,13.0,7558.0,6.0,471.0,0.0,0.0,0.0,0.0,8048.0,13.0
buenos aires,florencio varela,ingeniero juan allan,6274010,2.505,5087.0,0.0,907.0,0.0,0.0,0.0,0.0,8499.0,2.505
buenos aires,florencio varela,la capilla,6274010,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
buenos aires,florencio varela,la rotonda,6274010,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,357.0
buenos aires,florencio varela,villa brown,6274010,0.0,85.0,0.0,264.0,0.0,0.0,0.0,0.0,349.0,0.0
buenos aires,florencio varela,villa san luis,6274010,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0
buenos aires,florencio varela,villa santa rosa,6274010,31.0,4100.0,1.0,226.0,0.0,0.0,0.0,0.0,4358.0,31.0
buenos aires,florencio varela,villa vatteone,6274010,12.0,4586.0,1.0,2.184,0.0,0.0,0.0,0.0,6783.0,12.0
buenos aires,florentino ameghino,blaquier,6277010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0
buenos aires,florentino ameghino,florentino ameghino,6277020,117.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,414.0,117.0
buenos aires,florentino ameghino,porvenir,6277030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
buenos aires,general alvarado,comandante nicanor otamendi,6280010,0.0,0.0,3.0,930.0,0.0,1.0,0.0,31.0,965.0,0.0
